codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD060001,NOM_PROD060001,DES_PROD060001,3,1,465,2,5337,0,4744,12.51,S,441,558,I
PROD060002,NOM_PROD060002,DES_PROD060002,4,1,204,4,2859,0,2444,17.02,S,193,244,A
PROD060003,NOM_PROD060003,DES_PROD060003,1,3,364,4,2597,0,2343,10.86,S,345,436,I
PROD060004,NOM_PROD060004,DES_PROD060004,2,3,280,3,4648,0,4125,12.7,S,266,336,I
PROD060005,NOM_PROD060005,DES_PROD060005,2,3,76,1,4428,0,3859,14.77,S,72,91,I
PROD060006,NOM_PROD060006,DES_PROD060006,2,1,415,4,2825,0,2512,12.49,N,394,498,I
PROD060007,NOM_PROD060007,DES_PROD060007,4,2,444,2,4241,0,3764,12.69,S,421,532,A
PROD060008,NOM_PROD060008,DES_PROD060008,1,3,114,1,5216,0,4504,15.81,N,108,136,I
PROD060009,NOM_PROD060009,DES_PROD060009,5,2,118,3,2590,0,2213,17.06,S,112,141,A
PROD060010,NOM_PROD060010,DES_PROD060010,2,2,178,3,5130,0,4657,10.16,S,169,213,I
PROD060011,NOM_PROD060011,DES_PROD060011,2,2,328,1,2996,0,2594,15.5,S,311,393,A
PROD060012,NOM_PROD060012,DES_PROD060012,4,1,143,1,2486,0,2186,13.74,N,135,171,A
PROD060013,NOM_PROD060013,DES_PROD060013,1,1,458,5,2704,0,2314,16.89,N,435,549,I
PROD060014,NOM_PROD060014,DES_PROD060014,4,1,127,1,5092,0,4556,11.78,S,120,152,I
PROD060015,NOM_PROD060015,DES_PROD060015,4,2,73,3,2557,0,2213,15.57,N,69,87,A
PROD060016,NOM_PROD060016,DES_PROD060016,3,3,36,5,3308,0,2851,16.03,S,34,43,A
PROD060017,NOM_PROD060017,DES_PROD060017,1,3,225,5,4061,0,3617,12.28,S,213,270,I
PROD060018,NOM_PROD060018,DES_PROD060018,5,1,377,3,4108,0,3454,18.96,S,358,452,A
PROD060019,NOM_PROD060019,DES_PROD060019,4,2,267,5,2229,0,1909,16.81,N,253,320,A
