codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD030001,NOM_PROD030001,DES_PROD030001,1,1,354,4,5565,0,4826,15.33,S,336,424,A
PROD030002,NOM_PROD030002,DES_PROD030002,5,2,223,3,2637,0,2212,19.22,N,211,267,A
PROD030003,NOM_PROD030003,DES_PROD030003,3,3,131,3,4648,0,4224,10.05,S,124,157,A
PROD030004,NOM_PROD030004,DES_PROD030004,5,3,2,1,4110,0,3498,17.5,N,1,2,A
PROD030005,NOM_PROD030005,DES_PROD030005,4,1,451,3,4071,0,3627,12.25,N,428,541,A
PROD030006,NOM_PROD030006,DES_PROD030006,2,3,465,2,3727,0,3179,17.24,S,441,558,A
PROD030007,NOM_PROD030007,DES_PROD030007,4,1,387,4,2462,0,2181,12.92,N,367,464,I
PROD030008,NOM_PROD030008,DES_PROD030008,2,3,357,3,2240,0,1944,15.26,N,339,428,I
PROD030009,NOM_PROD030009,DES_PROD030009,5,2,290,3,3742,0,3319,12.76,N,275,348,I
PROD030010,NOM_PROD030010,DES_PROD030010,3,1,445,3,4443,0,3734,18.99,S,422,534,I
PROD030011,NOM_PROD030011,DES_PROD030011,5,3,318,5,2560,0,2274,12.6,S,302,381,I
PROD030012,NOM_PROD030012,DES_PROD030012,5,3,233,1,3275,0,2961,10.63,S,221,279,A
PROD030013,NOM_PROD030013,DES_PROD030013,2,3,193,5,5564,0,4770,16.65,S,183,231,A
PROD030014,NOM_PROD030014,DES_PROD030014,2,1,129,5,4207,0,3696,13.85,N,122,154,A
PROD030015,NOM_PROD030015,DES_PROD030015,3,2,457,5,2721,0,2412,12.84,N,434,548,I
PROD030016,NOM_PROD030016,DES_PROD030016,1,1,297,5,2323,0,2022,14.89,N,282,356,I
PROD030017,NOM_PROD030017,DES_PROD030017,3,3,149,5,4149,0,3521,17.84,N,141,178,A
PROD030018,NOM_PROD030018,DES_PROD030018,4,3,329,4,3502,0,3112,12.56,N,312,394,I
PROD030019,NOM_PROD030019,DES_PROD030019,5,3,151,5,4877,0,4086,19.36,N,143,181,I
PROD030020,NOM_PROD030020,DES_PROD030020,3,1,371,4,3538,0,2995,18.16,N,352,445,I
PROD030021,NOM_PROD030021,DES_PROD030021,3,3,26,2,3802,0,3303,15.11,N,24,31,A
PROD030022,NOM_PROD030022,DES_PROD030022,5,3,114,2,4782,0,4174,14.58,S,108,136,I
PROD030023,NOM_PROD030023,DES_PROD030023,3,3,142,3,2510,0,2170,15.69,N,134,170,A
PROD030024,NOM_PROD030024,DES_PROD030024,4,1,355,3,2800,0,2423,15.57,S,337,426,I
PROD030025,NOM_PROD030025,DES_PROD030025,2,2,216,1,4706,0,4234,11.16,N,205,259,A
PROD030026,NOM_PROD030026,DES_PROD030026,4,3,292,5,5757,0,4973,15.78,S,277,350,A
PROD030027,NOM_PROD030027,DES_PROD030027,2,1,40,3,4647,0,3947,17.74,S,38,48,A
PROD030028,NOM_PROD030028,DES_PROD030028,2,2,441,3,3192,0,2677,19.24,N,418,529,I
PROD030029,NOM_PROD030029,DES_PROD030029,4,1,143,1,2524,0,2242,12.62,S,135,171,I
PROD030030,NOM_PROD030030,DES_PROD030030,2,1,67,3,5005,0,4467,12.05,N,63,80,I
PROD030031,NOM_PROD030031,DES_PROD030031,1,3,360,2,4616,0,4142,11.45,S,342,432,I
PROD030032,NOM_PROD030032,DES_PROD030032,4,3,477,1,4284,0,3668,16.8,S,453,572,A
PROD030033,NOM_PROD030033,DES_PROD030033,2,2,387,5,3076,0,2594,18.6,S,367,464,A
PROD030034,NOM_PROD030034,DES_PROD030034,2,2,109,2,4371,0,3958,10.45,N,103,130,A
PROD030035,NOM_PROD030035,DES_PROD030035,4,1,397,4,5313,0,4638,14.56,S,377,476,I
PROD030036,NOM_PROD030036,DES_PROD030036,5,2,277,2,5043,0,4542,11.05,S,263,332,A
PROD030037,NOM_PROD030037,DES_PROD030037,3,3,90,1,2566,0,2268,13.15,N,85,108,I
PROD030038,NOM_PROD030038,DES_PROD030038,4,2,163,4,4627,0,4203,10.1,S,154,195,A
PROD030039,NOM_PROD030039,DES_PROD030039,5,2,219,3,5328,0,4806,10.87,S,208,262,I
PROD030040,NOM_PROD030040,DES_PROD030040,2,2,248,2,2704,0,2364,14.39,S,235,297,I
PROD030041,NOM_PROD030041,DES_PROD030041,3,1,189,3,4457,0,3835,16.22,N,179,226,I
PROD030042,NOM_PROD030042,DES_PROD030042,1,3,432,4,5818,0,4926,18.11,N,410,518,I
PROD030043,NOM_PROD030043,DES_PROD030043,4,3,403,2,3622,0,3070,18.0,S,382,483,A
PROD030044,NOM_PROD030044,DES_PROD030044,1,1,47,1,2656,0,2414,10.06,N,44,56,I
PROD030045,NOM_PROD030045,DES_PROD030045,3,1,368,5,2413,0,2039,18.39,S,349,441,I
PROD030046,NOM_PROD030046,DES_PROD030046,3,2,385,4,3397,0,2957,14.88,S,365,462,A
PROD030047,NOM_PROD030047,DES_PROD030047,1,2,342,5,3878,0,3429,13.12,N,324,410,I
PROD030048,NOM_PROD030048,DES_PROD030048,3,2,300,4,4779,0,4311,10.87,N,285,360,A
PROD030049,NOM_PROD030049,DES_PROD030049,4,3,405,4,5759,0,4811,19.71,S,384,486,I
PROD030050,NOM_PROD030050,DES_PROD030050,2,3,191,1,4403,0,3748,17.48,S,181,229,I
PROD030051,NOM_PROD030051,DES_PROD030051,4,2,90,2,2726,0,2364,15.35,N,85,108,A
PROD030052,NOM_PROD030052,DES_PROD030052,3,2,102,3,5358,0,4528,18.35,N,96,122,I
PROD030053,NOM_PROD030053,DES_PROD030053,4,3,327,1,4769,0,4040,18.05,S,310,392,A
PROD030054,NOM_PROD030054,DES_PROD030054,5,2,441,4,2980,0,2679,11.27,S,418,529,A
PROD030055,NOM_PROD030055,DES_PROD030055,2,1,228,3,3450,0,2941,17.31,N,216,273,A
PROD030056,NOM_PROD030056,DES_PROD030056,2,1,362,3,2788,0,2352,18.57,S,343,434,I
PROD030057,NOM_PROD030057,DES_PROD030057,1,3,120,3,5541,0,4978,11.32,N,114,144,A
PROD030058,NOM_PROD030058,DES_PROD030058,4,1,400,2,3068,0,2775,10.57,S,380,480,I
PROD030059,NOM_PROD030059,DES_PROD030059,1,2,74,2,2874,0,2512,14.45,S,70,88,I
PROD030060,NOM_PROD030060,DES_PROD030060,3,1,437,3,2546,0,2205,15.51,S,415,524,A
PROD030061,NOM_PROD030061,DES_PROD030061,2,2,310,2,2617,0,2191,19.45,N,294,372,A
PROD030062,NOM_PROD030062,DES_PROD030062,1,3,351,3,5863,0,4903,19.58,N,333,421,A
PROD030063,NOM_PROD030063,DES_PROD030063,3,3,396,2,3485,0,2968,17.43,N,376,475,I
PROD030064,NOM_PROD030064,DES_PROD030064,1,1,163,3,4217,0,3641,15.82,N,154,195,A
PROD030065,NOM_PROD030065,DES_PROD030065,2,2,394,1,2816,0,2541,10.85,N,374,472,I
PROD030066,NOM_PROD030066,DES_PROD030066,1,3,438,4,4246,0,3654,16.22,S,416,525,I
PROD030067,NOM_PROD030067,DES_PROD030067,1,2,473,4,2369,0,2115,12.01,N,449,567,I
PROD030068,NOM_PROD030068,DES_PROD030068,4,2,418,1,4783,0,4314,10.88,N,397,501,A
PROD030069,NOM_PROD030069,DES_PROD030069,3,2,86,1,3766,0,3210,17.34,N,81,103,I
PROD030070,NOM_PROD030070,DES_PROD030070,1,2,419,5,4704,0,4208,11.81,N,398,502,A
PROD030071,NOM_PROD030071,DES_PROD030071,3,3,367,1,5205,0,4538,14.7,N,348,440,I
PROD030072,NOM_PROD030072,DES_PROD030072,1,1,103,4,4231,0,3806,11.19,S,97,123,A
PROD030073,NOM_PROD030073,DES_PROD030073,2,2,233,3,4706,0,4050,16.2,N,221,279,I
PROD030074,NOM_PROD030074,DES_PROD030074,2,3,376,4,3622,0,3289,10.14,N,357,451,A
PROD030075,NOM_PROD030075,DES_PROD030075,3,2,465,3,4095,0,3594,13.96,N,441,558,A
PROD030076,NOM_PROD030076,DES_PROD030076,1,2,305,1,4813,0,4115,16.98,N,289,366,I
PROD030077,NOM_PROD030077,DES_PROD030077,5,2,162,3,2485,0,2166,14.77,N,153,194,A
PROD030078,NOM_PROD030078,DES_PROD030078,2,2,189,2,5695,0,4965,14.72,N,179,226,A
PROD030079,NOM_PROD030079,DES_PROD030079,5,1,182,3,5615,0,4847,15.86,S,172,218,A
PROD030080,NOM_PROD030080,DES_PROD030080,2,3,368,3,3882,0,3445,12.7,N,349,441,A
PROD030081,NOM_PROD030081,DES_PROD030081,1,3,156,4,3053,0,2698,13.19,N,148,187,I
PROD030082,NOM_PROD030082,DES_PROD030082,2,3,354,2,2264,0,1969,15.03,N,336,424,A
PROD030083,NOM_PROD030083,DES_PROD030083,2,3,388,5,5624,0,4911,14.53,S,368,465,I
PROD030084,NOM_PROD030084,DES_PROD030084,5,3,6,2,4601,0,3853,19.43,S,5,7,I
PROD030085,NOM_PROD030085,DES_PROD030085,2,3,148,5,4649,0,4186,11.08,N,140,177,A
PROD030086,NOM_PROD030086,DES_PROD030086,1,2,387,1,3167,0,2855,10.96,N,367,464,A
PROD030087,NOM_PROD030087,DES_PROD030087,3,3,158,3,2892,0,2467,17.25,N,150,189,A
PROD030088,NOM_PROD030088,DES_PROD030088,3,2,247,3,4608,0,4141,11.29,N,234,296,A
PROD030089,NOM_PROD030089,DES_PROD030089,3,2,19,3,2335,0,2104,11.02,N,18,22,I
PROD030090,NOM_PROD030090,DES_PROD030090,2,2,312,2,4773,0,4109,16.17,S,296,374,A
PROD030091,NOM_PROD030091,DES_PROD030091,5,2,166,1,2610,0,2349,11.15,N,157,199,I
PROD030092,NOM_PROD030092,DES_PROD030092,4,3,350,5,3885,0,3346,16.13,N,332,420,I
PROD030093,NOM_PROD030093,DES_PROD030093,4,1,496,2,5002,0,4388,14.0,N,471,595,A
PROD030094,NOM_PROD030094,DES_PROD030094,4,1,499,1,5270,0,4434,18.87,S,474,598,I
PROD030095,NOM_PROD030095,DES_PROD030095,1,3,55,2,5479,0,4758,15.16,N,52,66,I
PROD030096,NOM_PROD030096,DES_PROD030096,1,1,429,2,5753,0,4907,17.25,N,407,514,I
PROD030097,NOM_PROD030097,DES_PROD030097,4,2,225,2,2567,0,2299,11.69,S,213,270,A
PROD030098,NOM_PROD030098,DES_PROD030098,5,3,200,1,2315,0,1932,19.83,N,190,240,I
PROD030099,NOM_PROD030099,DES_PROD030099,2,1,414,5,2697,0,2417,11.59,N,393,496,I
PROD030100,NOM_PROD030100,DES_PROD030100,3,1,349,5,4522,0,4059,11.42,N,331,418,I
PROD030101,NOM_PROD030101,DES_PROD030101,2,3,358,3,2338,0,2012,16.25,S,340,429,A
PROD030102,NOM_PROD030102,DES_PROD030102,2,2,344,3,4293,0,3608,19.01,N,326,412,I
PROD030103,NOM_PROD030103,DES_PROD030103,1,1,368,4,3621,0,3023,19.81,S,349,441,I
PROD030104,NOM_PROD030104,DES_PROD030104,4,1,472,2,4826,0,4132,16.81,S,448,566,I
PROD030105,NOM_PROD030105,DES_PROD030105,4,3,393,1,3578,0,3061,16.91,N,373,471,I
PROD030106,NOM_PROD030106,DES_PROD030106,1,2,458,5,3292,0,2867,14.84,N,435,549,A
PROD030107,NOM_PROD030107,DES_PROD030107,5,2,217,3,5204,0,4624,12.56,S,206,260,I
PROD030108,NOM_PROD030108,DES_PROD030108,1,2,15,3,4293,0,3880,10.65,N,14,18,I
PROD030109,NOM_PROD030109,DES_PROD030109,5,2,95,1,4612,0,3995,15.45,S,90,114,I
PROD030110,NOM_PROD030110,DES_PROD030110,3,3,156,2,2773,0,2459,12.81,S,148,187,A
PROD030111,NOM_PROD030111,DES_PROD030111,5,1,152,3,4216,0,3611,16.76,S,144,182,I
PROD030112,NOM_PROD030112,DES_PROD030112,1,2,301,2,5263,0,4552,15.64,N,285,361,I
PROD030113,NOM_PROD030113,DES_PROD030113,3,3,185,2,2563,0,2177,17.76,N,175,222,I
PROD030114,NOM_PROD030114,DES_PROD030114,4,3,62,3,3821,0,3273,16.77,S,58,74,A
PROD030115,NOM_PROD030115,DES_PROD030115,3,3,44,2,5762,0,4921,17.11,N,41,52,I
PROD030116,NOM_PROD030116,DES_PROD030116,1,2,140,1,3090,0,2607,18.54,S,133,168,A
PROD030117,NOM_PROD030117,DES_PROD030117,5,1,8,4,3276,0,2881,13.72,N,7,9,A
PROD030118,NOM_PROD030118,DES_PROD030118,1,1,40,2,3229,0,2908,11.07,N,38,48,I
PROD030119,NOM_PROD030119,DES_PROD030119,2,3,222,2,2611,0,2274,14.82,N,210,266,A
PROD030120,NOM_PROD030120,DES_PROD030120,2,3,332,1,3331,0,2910,14.47,N,315,398,A
PROD030121,NOM_PROD030121,DES_PROD030121,5,3,384,1,2674,0,2289,16.86,N,364,460,I
PROD030122,NOM_PROD030122,DES_PROD030122,1,3,454,1,5519,0,4668,18.25,N,431,544,A
PROD030123,NOM_PROD030123,DES_PROD030123,5,3,182,3,2249,0,1934,16.3,S,172,218,A
PROD030124,NOM_PROD030124,DES_PROD030124,1,3,290,4,5329,0,4674,14.02,S,275,348,I
PROD030125,NOM_PROD030125,DES_PROD030125,4,1,448,1,5062,0,4501,12.47,N,425,537,A
PROD030126,NOM_PROD030126,DES_PROD030126,3,2,58,4,4848,0,4225,14.75,S,55,69,A
PROD030127,NOM_PROD030127,DES_PROD030127,5,2,331,2,2678,0,2332,14.85,S,314,397,A
PROD030128,NOM_PROD030128,DES_PROD030128,5,1,112,5,2941,0,2665,10.39,N,106,134,A
PROD030129,NOM_PROD030129,DES_PROD030129,5,1,67,5,2370,0,2097,13.02,N,63,80,A
PROD030130,NOM_PROD030130,DES_PROD030130,1,3,163,1,3260,0,2736,19.16,N,154,195,I
PROD030131,NOM_PROD030131,DES_PROD030131,4,1,384,1,4395,0,3723,18.05,S,364,460,A
PROD030132,NOM_PROD030132,DES_PROD030132,4,2,462,1,4237,0,3782,12.04,S,438,554,I
PROD030133,NOM_PROD030133,DES_PROD030133,5,2,102,2,5845,0,4950,18.1,N,96,122,A
PROD030134,NOM_PROD030134,DES_PROD030134,4,3,434,3,2856,0,2478,15.27,S,412,520,A
PROD030135,NOM_PROD030135,DES_PROD030135,4,2,296,3,5623,0,4939,13.85,S,281,355,I
PROD030136,NOM_PROD030136,DES_PROD030136,1,1,334,1,2875,0,2510,14.58,S,317,400,I
PROD030137,NOM_PROD030137,DES_PROD030137,2,3,233,4,3542,0,3059,15.81,S,221,279,A
PROD030138,NOM_PROD030138,DES_PROD030138,2,3,323,3,3509,0,3051,15.03,N,306,387,A
PROD030139,NOM_PROD030139,DES_PROD030139,5,2,326,3,4318,0,3875,11.44,S,309,391,A
PROD030140,NOM_PROD030140,DES_PROD030140,1,3,29,3,5439,0,4574,18.92,N,27,34,A
PROD030141,NOM_PROD030141,DES_PROD030141,3,2,206,4,3553,0,3068,15.84,N,195,247,A
PROD030142,NOM_PROD030142,DES_PROD030142,4,2,378,3,4424,0,3744,18.17,N,359,453,I
PROD030143,NOM_PROD030143,DES_PROD030143,5,3,224,5,4236,0,3810,11.2,S,212,268,I
PROD030144,NOM_PROD030144,DES_PROD030144,2,2,316,5,4730,0,4062,16.45,S,300,379,A
PROD030145,NOM_PROD030145,DES_PROD030145,3,1,384,5,3669,0,3145,16.67,S,364,460,I
PROD030146,NOM_PROD030146,DES_PROD030146,3,3,456,1,5560,0,4941,12.53,S,433,547,I
PROD030147,NOM_PROD030147,DES_PROD030147,2,2,301,1,5717,0,4963,15.2,N,285,361,I
PROD030148,NOM_PROD030148,DES_PROD030148,4,3,107,5,5668,0,4881,16.14,S,101,128,A
PROD030149,NOM_PROD030149,DES_PROD030149,2,1,113,1,2197,0,1906,15.3,N,107,135,I
PROD030150,NOM_PROD030150,DES_PROD030150,3,3,21,4,4640,0,3946,17.61,N,19,25,A
PROD030151,NOM_PROD030151,DES_PROD030151,2,1,315,5,2799,0,2359,18.67,S,299,378,A
PROD030152,NOM_PROD030152,DES_PROD030152,1,2,258,2,2584,0,2193,17.84,S,245,309,A
PROD030153,NOM_PROD030153,DES_PROD030153,5,1,40,2,5007,0,4368,14.65,N,38,48,A
PROD030154,NOM_PROD030154,DES_PROD030154,5,3,485,1,5334,0,4592,16.16,N,460,582,A
PROD030155,NOM_PROD030155,DES_PROD030155,1,2,403,4,3170,0,2809,12.86,N,382,483,A
PROD030156,NOM_PROD030156,DES_PROD030156,3,1,355,1,3828,0,3258,17.52,N,337,426,I
PROD030157,NOM_PROD030157,DES_PROD030157,4,3,123,1,3282,0,2906,12.96,S,116,147,I
PROD030158,NOM_PROD030158,DES_PROD030158,2,2,303,3,4468,0,3922,13.94,S,287,363,A
PROD030159,NOM_PROD030159,DES_PROD030159,4,2,280,1,3806,0,3421,11.28,S,266,336,I
PROD030160,NOM_PROD030160,DES_PROD030160,1,2,119,5,3501,0,3175,10.29,S,113,142,I
PROD030161,NOM_PROD030161,DES_PROD030161,5,1,19,1,5191,0,4455,16.54,S,18,22,A
PROD030162,NOM_PROD030162,DES_PROD030162,2,3,374,4,5032,0,4341,15.92,N,355,448,A
PROD030163,NOM_PROD030163,DES_PROD030163,2,3,471,5,4275,0,3753,13.91,S,447,565,A
PROD030164,NOM_PROD030164,DES_PROD030164,2,2,262,1,5752,0,4900,17.39,N,248,314,I
PROD030165,NOM_PROD030165,DES_PROD030165,4,3,388,5,4746,0,4240,11.95,N,368,465,I
PROD030166,NOM_PROD030166,DES_PROD030166,5,2,58,3,5283,0,4785,10.41,N,55,69,I
PROD030167,NOM_PROD030167,DES_PROD030167,3,3,293,2,2832,0,2512,12.77,S,278,351,A
PROD030168,NOM_PROD030168,DES_PROD030168,2,2,426,2,2753,0,2343,17.5,N,404,511,I
PROD030169,NOM_PROD030169,DES_PROD030169,3,1,130,2,2543,0,2273,11.91,S,123,156,A
PROD030170,NOM_PROD030170,DES_PROD030170,3,1,163,2,3199,0,2837,12.77,N,154,195,A
PROD030171,NOM_PROD030171,DES_PROD030171,2,2,440,1,2234,0,1968,13.53,S,418,528,A
PROD030172,NOM_PROD030172,DES_PROD030172,2,1,138,5,4417,0,3801,16.23,S,131,165,A
PROD030173,NOM_PROD030173,DES_PROD030173,4,3,10,1,4106,0,3597,14.16,N,9,12,I
PROD030174,NOM_PROD030174,DES_PROD030174,5,1,100,3,3754,0,3312,13.37,N,95,120,A
PROD030175,NOM_PROD030175,DES_PROD030175,1,2,95,2,2759,0,2373,16.28,N,90,114,I
PROD030176,NOM_PROD030176,DES_PROD030176,5,2,358,2,2894,0,2458,17.74,S,340,429,I
PROD030177,NOM_PROD030177,DES_PROD030177,4,1,416,2,2859,0,2414,18.47,S,395,499,I
PROD030178,NOM_PROD030178,DES_PROD030178,4,2,69,3,2200,0,1932,13.88,S,65,82,A
PROD030179,NOM_PROD030179,DES_PROD030179,4,1,78,1,4178,0,3532,18.29,N,74,93,I
PROD030180,NOM_PROD030180,DES_PROD030180,4,1,163,3,4980,0,4152,19.96,N,154,195,I
PROD030181,NOM_PROD030181,DES_PROD030181,2,3,423,1,4761,0,4266,11.62,N,401,507,A
PROD030182,NOM_PROD030182,DES_PROD030182,2,2,296,4,5302,0,4499,17.86,N,281,355,A
PROD030183,NOM_PROD030183,DES_PROD030183,1,1,408,1,3261,0,2759,18.23,S,387,489,A
PROD030184,NOM_PROD030184,DES_PROD030184,1,3,379,4,2567,0,2210,16.16,S,360,454,A
PROD030185,NOM_PROD030185,DES_PROD030185,2,3,145,3,4263,0,3594,18.64,N,137,174,I
PROD030186,NOM_PROD030186,DES_PROD030186,2,1,36,4,3606,0,3185,13.24,N,34,43,I
PROD030187,NOM_PROD030187,DES_PROD030187,4,1,82,1,3559,0,3131,13.68,S,77,98,A
PROD030188,NOM_PROD030188,DES_PROD030188,1,1,17,3,3574,0,3066,16.6,S,16,20,A
PROD030189,NOM_PROD030189,DES_PROD030189,4,2,484,5,2983,0,2709,10.12,S,459,580,I
PROD030190,NOM_PROD030190,DES_PROD030190,2,3,468,2,5493,0,4693,17.06,S,444,561,I
PROD030191,NOM_PROD030191,DES_PROD030191,1,1,29,3,4574,0,3864,18.4,N,27,34,I
PROD030192,NOM_PROD030192,DES_PROD030192,2,3,385,1,4295,0,3872,10.93,N,365,462,A
PROD030193,NOM_PROD030193,DES_PROD030193,5,3,379,1,4800,0,4349,10.38,S,360,454,I
PROD030194,NOM_PROD030194,DES_PROD030194,3,2,432,3,3969,0,3561,11.47,S,410,518,I
PROD030195,NOM_PROD030195,DES_PROD030195,5,3,32,5,3214,0,2690,19.49,N,30,38,I
PROD030196,NOM_PROD030196,DES_PROD030196,1,3,209,1,5628,0,4729,19.02,S,198,250,A
PROD030197,NOM_PROD030197,DES_PROD030197,3,2,276,5,5542,0,4754,16.58,N,262,331,I
PROD030198,NOM_PROD030198,DES_PROD030198,2,2,465,5,3655,0,3287,11.2,N,441,558,I
PROD030199,NOM_PROD030199,DES_PROD030199,2,3,312,3,2686,0,2242,19.84,N,296,374,I
PROD030200,NOM_PROD030200,DES_PROD030200,4,3,355,5,4019,0,3387,18.67,S,337,426,I
PROD030201,NOM_PROD030201,DES_PROD030201,4,1,91,4,4603,0,3984,15.55,N,86,109,I
PROD030202,NOM_PROD030202,DES_PROD030202,2,2,103,1,4486,0,3945,13.72,N,97,123,I
