codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD040001,NOM_PROD040001,DES_PROD040001,4,2,349,1,2772,0,2459,12.74,N,331,418,I
PROD040002,NOM_PROD040002,DES_PROD040002,1,1,350,2,3987,0,3569,11.72,N,332,420,I
PROD040003,NOM_PROD040003,DES_PROD040003,2,2,488,3,3929,0,3370,16.6,S,463,585,I
PROD040004,NOM_PROD040004,DES_PROD040004,5,1,261,5,2412,0,2139,12.8,S,247,313,A
PROD040005,NOM_PROD040005,DES_PROD040005,1,3,113,4,4494,0,3986,12.75,N,107,135,A
PROD040006,NOM_PROD040006,DES_PROD040006,5,1,301,5,4922,0,4378,12.44,N,285,361,A
PROD040007,NOM_PROD040007,DES_PROD040007,3,3,188,4,2301,0,2074,10.97,N,178,225,I
PROD040008,NOM_PROD040008,DES_PROD040008,2,2,398,4,5694,0,4979,14.38,S,378,477,I
PROD040009,NOM_PROD040009,DES_PROD040009,3,1,98,5,3645,0,3195,14.1,S,93,117,I
PROD040010,NOM_PROD040010,DES_PROD040010,3,2,412,3,5232,0,4363,19.92,S,391,494,I
PROD040011,NOM_PROD040011,DES_PROD040011,1,3,13,4,4001,0,3590,11.47,N,12,15,I
PROD040012,NOM_PROD040012,DES_PROD040012,5,3,194,5,5525,0,4826,14.49,N,184,232,A
PROD040013,NOM_PROD040013,DES_PROD040013,1,1,401,3,5251,0,4749,10.58,N,380,481,I
PROD040014,NOM_PROD040014,DES_PROD040014,4,1,9,1,4205,0,3563,18.03,S,8,10,I
PROD040015,NOM_PROD040015,DES_PROD040015,5,1,109,3,4029,0,3594,12.11,S,103,130,A
PROD040016,NOM_PROD040016,DES_PROD040016,2,2,112,3,3343,0,2787,19.98,N,106,134,I
PROD040017,NOM_PROD040017,DES_PROD040017,2,2,373,5,5751,0,4796,19.93,N,354,447,A
PROD040018,NOM_PROD040018,DES_PROD040018,1,2,121,3,4766,0,4184,13.93,N,114,145,A
PROD040019,NOM_PROD040019,DES_PROD040019,4,1,352,5,3047,0,2619,16.37,N,334,422,I
PROD040020,NOM_PROD040020,DES_PROD040020,3,2,383,4,2277,0,2000,13.87,N,363,459,I
PROD040021,NOM_PROD040021,DES_PROD040021,5,3,472,4,5369,0,4870,10.26,N,448,566,I
PROD040022,NOM_PROD040022,DES_PROD040022,5,1,285,5,3599,0,3212,12.07,S,270,342,A
PROD040023,NOM_PROD040023,DES_PROD040023,2,2,363,2,2408,0,2131,13.04,N,344,435,I
PROD040024,NOM_PROD040024,DES_PROD040024,3,2,271,2,5430,0,4851,11.94,N,257,325,A
PROD040025,NOM_PROD040025,DES_PROD040025,4,2,335,1,5041,0,4257,18.42,N,318,402,I
PROD040026,NOM_PROD040026,DES_PROD040026,4,2,39,5,3005,0,2681,12.11,N,37,46,A
PROD040027,NOM_PROD040027,DES_PROD040027,2,1,235,3,3461,0,2990,15.78,S,223,282,A
PROD040028,NOM_PROD040028,DES_PROD040028,5,3,220,2,2298,0,2014,14.12,S,209,264,A
PROD040029,NOM_PROD040029,DES_PROD040029,1,1,51,4,3822,0,3397,12.53,S,48,61,I
PROD040030,NOM_PROD040030,DES_PROD040030,3,2,379,1,2629,0,2203,19.38,S,360,454,A
PROD040031,NOM_PROD040031,DES_PROD040031,5,1,427,2,5409,0,4741,14.1,N,405,512,I
PROD040032,NOM_PROD040032,DES_PROD040032,1,2,329,4,2348,0,1962,19.68,S,312,394,A
PROD040033,NOM_PROD040033,DES_PROD040033,3,2,353,4,4998,0,4493,11.24,S,335,423,A
PROD040034,NOM_PROD040034,DES_PROD040034,5,3,335,4,4150,0,3607,15.06,S,318,402,I
PROD040035,NOM_PROD040035,DES_PROD040035,5,2,1,3,3333,0,2852,16.88,S,0,1,A
PROD040036,NOM_PROD040036,DES_PROD040036,2,2,234,2,3040,0,2703,12.48,N,222,280,A
PROD040037,NOM_PROD040037,DES_PROD040037,2,1,336,1,3589,0,3239,10.81,S,319,403,I
PROD040038,NOM_PROD040038,DES_PROD040038,4,3,96,4,3891,0,3437,13.23,S,91,115,I
PROD040039,NOM_PROD040039,DES_PROD040039,5,1,261,1,2668,0,2231,19.61,S,247,313,A
PROD040040,NOM_PROD040040,DES_PROD040040,3,1,430,3,3647,0,3249,12.26,S,408,516,I
PROD040041,NOM_PROD040041,DES_PROD040041,1,1,232,5,3301,0,2999,10.1,S,220,278,A
PROD040042,NOM_PROD040042,DES_PROD040042,4,1,62,2,5205,0,4461,16.68,S,58,74,A
PROD040043,NOM_PROD040043,DES_PROD040043,5,3,307,2,3640,0,3216,13.19,N,291,368,I
PROD040044,NOM_PROD040044,DES_PROD040044,4,1,27,4,3867,0,3259,18.68,N,25,32,I
PROD040045,NOM_PROD040045,DES_PROD040045,3,3,34,2,3596,0,3246,10.79,S,32,40,I
PROD040046,NOM_PROD040046,DES_PROD040046,3,2,365,5,4059,0,3445,17.85,S,346,438,I
PROD040047,NOM_PROD040047,DES_PROD040047,2,2,350,2,4453,0,4033,10.43,N,332,420,A
PROD040048,NOM_PROD040048,DES_PROD040048,3,3,400,1,5536,0,4786,15.68,N,380,480,A
PROD040049,NOM_PROD040049,DES_PROD040049,1,3,91,5,3691,0,3199,15.4,N,86,109,I
PROD040050,NOM_PROD040050,DES_PROD040050,4,3,125,2,5425,0,4893,10.89,S,118,150,I
PROD040051,NOM_PROD040051,DES_PROD040051,3,1,201,5,4636,0,4198,10.45,S,190,241,I
PROD040052,NOM_PROD040052,DES_PROD040052,5,1,405,1,3038,0,2743,10.77,N,384,486,A
PROD040053,NOM_PROD040053,DES_PROD040053,1,3,65,4,2671,0,2389,11.81,S,61,78,I
PROD040054,NOM_PROD040054,DES_PROD040054,3,2,289,2,2309,0,2040,13.2,N,274,346,I
PROD040055,NOM_PROD040055,DES_PROD040055,3,1,254,2,3937,0,3470,13.48,N,241,304,A
PROD040056,NOM_PROD040056,DES_PROD040056,2,2,448,1,4361,0,3753,16.22,N,425,537,A
PROD040057,NOM_PROD040057,DES_PROD040057,1,1,334,1,5110,0,4519,13.1,N,317,400,I
PROD040058,NOM_PROD040058,DES_PROD040058,4,3,368,1,4913,0,4420,11.16,N,349,441,A
PROD040059,NOM_PROD040059,DES_PROD040059,2,1,56,5,5339,0,4807,11.07,S,53,67,A
PROD040060,NOM_PROD040060,DES_PROD040060,2,2,402,4,4354,0,3799,14.62,N,381,482,I
PROD040061,NOM_PROD040061,DES_PROD040061,2,1,66,5,3036,0,2635,15.22,N,62,79,I
PROD040062,NOM_PROD040062,DES_PROD040062,2,3,77,1,5452,0,4581,19.02,N,73,92,I
PROD040063,NOM_PROD040063,DES_PROD040063,1,1,275,5,2910,0,2592,12.28,S,261,330,A
PROD040064,NOM_PROD040064,DES_PROD040064,5,3,96,1,4379,0,3748,16.86,S,91,115,A
PROD040065,NOM_PROD040065,DES_PROD040065,5,1,393,3,3726,0,3269,14.0,N,373,471,A
PROD040066,NOM_PROD040066,DES_PROD040066,4,2,218,2,2367,0,2106,12.42,N,207,261,I
PROD040067,NOM_PROD040067,DES_PROD040067,5,3,188,4,3779,0,3252,16.23,S,178,225,I
PROD040068,NOM_PROD040068,DES_PROD040068,4,1,96,2,3725,0,3364,10.76,S,91,115,A
PROD040069,NOM_PROD040069,DES_PROD040069,1,1,466,5,3622,0,3287,10.22,S,442,559,I
PROD040070,NOM_PROD040070,DES_PROD040070,2,2,477,2,2368,0,2147,10.3,N,453,572,I
PROD040071,NOM_PROD040071,DES_PROD040071,2,1,478,1,4230,0,3697,14.43,S,454,573,I
PROD040072,NOM_PROD040072,DES_PROD040072,5,1,337,3,5081,0,4610,10.22,N,320,404,A
PROD040073,NOM_PROD040073,DES_PROD040073,2,2,408,3,3514,0,3179,10.55,S,387,489,A
PROD040074,NOM_PROD040074,DES_PROD040074,5,1,300,4,3742,0,3399,10.12,S,285,360,A
PROD040075,NOM_PROD040075,DES_PROD040075,4,2,477,5,5057,0,4580,10.43,S,453,572,A
PROD040076,NOM_PROD040076,DES_PROD040076,1,1,383,2,4554,0,4132,10.23,N,363,459,I
PROD040077,NOM_PROD040077,DES_PROD040077,5,1,18,4,3140,0,2820,11.37,N,17,21,A
PROD040078,NOM_PROD040078,DES_PROD040078,4,2,445,5,5471,0,4857,12.65,N,422,534,I
PROD040079,NOM_PROD040079,DES_PROD040079,1,2,448,3,5423,0,4655,16.5,N,425,537,I
PROD040080,NOM_PROD040080,DES_PROD040080,4,2,274,5,3262,0,2915,11.92,N,260,328,A
PROD040081,NOM_PROD040081,DES_PROD040081,3,2,272,2,3914,0,3353,16.76,N,258,326,I
PROD040082,NOM_PROD040082,DES_PROD040082,4,3,250,2,5536,0,4860,13.93,N,237,300,A
PROD040083,NOM_PROD040083,DES_PROD040083,1,2,489,4,4602,0,4034,14.09,N,464,586,I
PROD040084,NOM_PROD040084,DES_PROD040084,2,3,410,4,3884,0,3481,11.6,N,389,492,I
PROD040085,NOM_PROD040085,DES_PROD040085,1,2,38,2,3275,0,2751,19.06,S,36,45,A
PROD040086,NOM_PROD040086,DES_PROD040086,2,1,331,5,4712,0,4144,13.72,S,314,397,I
PROD040087,NOM_PROD040087,DES_PROD040087,5,2,301,2,3625,0,3241,11.86,S,285,361,A
PROD040088,NOM_PROD040088,DES_PROD040088,2,2,198,1,3912,0,3550,10.2,N,188,237,I
PROD040089,NOM_PROD040089,DES_PROD040089,3,2,231,5,5171,0,4542,13.85,N,219,277,A
PROD040090,NOM_PROD040090,DES_PROD040090,2,2,397,5,2976,0,2481,19.98,S,377,476,A
PROD040091,NOM_PROD040091,DES_PROD040091,3,3,343,5,3354,0,2827,18.67,S,325,411,A
PROD040092,NOM_PROD040092,DES_PROD040092,2,2,66,4,2766,0,2330,18.72,N,62,79,I
PROD040093,NOM_PROD040093,DES_PROD040093,1,3,71,5,3287,0,2814,16.82,N,67,85,I
PROD040094,NOM_PROD040094,DES_PROD040094,5,2,287,4,4094,0,3704,10.54,N,272,344,I
PROD040095,NOM_PROD040095,DES_PROD040095,2,1,189,3,5170,0,4515,14.51,N,179,226,I
PROD040096,NOM_PROD040096,DES_PROD040096,4,1,283,5,5105,0,4362,17.04,N,268,339,A
PROD040097,NOM_PROD040097,DES_PROD040097,2,1,496,4,3357,0,3042,10.37,N,471,595,I
PROD040098,NOM_PROD040098,DES_PROD040098,1,3,129,5,3850,0,3213,19.84,S,122,154,I
PROD040099,NOM_PROD040099,DES_PROD040099,5,1,396,3,5007,0,4398,13.85,N,376,475,A
PROD040100,NOM_PROD040100,DES_PROD040100,3,2,48,1,4622,0,4014,15.16,N,45,57,A
PROD040101,NOM_PROD040101,DES_PROD040101,3,3,378,4,2231,0,1921,16.18,N,359,453,I
PROD040102,NOM_PROD040102,DES_PROD040102,4,3,390,3,2928,0,2571,13.89,N,370,468,I
PROD040103,NOM_PROD040103,DES_PROD040103,2,2,40,5,3368,0,2827,19.15,N,38,48,I
PROD040104,NOM_PROD040104,DES_PROD040104,5,3,53,4,4714,0,4275,10.28,S,50,63,I
PROD040105,NOM_PROD040105,DES_PROD040105,4,1,70,3,3394,0,3019,12.43,N,66,84,A
PROD040106,NOM_PROD040106,DES_PROD040106,5,3,419,5,4946,0,4227,17.03,S,398,502,I
PROD040107,NOM_PROD040107,DES_PROD040107,5,3,9,2,3590,0,3077,16.68,S,8,10,I
PROD040108,NOM_PROD040108,DES_PROD040108,2,3,401,2,4130,0,3631,13.77,S,380,481,I
PROD040109,NOM_PROD040109,DES_PROD040109,2,3,311,1,4460,0,3836,16.28,N,295,373,A
PROD040110,NOM_PROD040110,DES_PROD040110,2,2,67,4,2489,0,2263,10.03,N,63,80,I
PROD040111,NOM_PROD040111,DES_PROD040111,2,1,362,5,4263,0,3592,18.7,N,343,434,A
PROD040112,NOM_PROD040112,DES_PROD040112,3,2,300,2,4048,0,3435,17.86,S,285,360,A
PROD040113,NOM_PROD040113,DES_PROD040113,2,3,288,1,3402,0,3087,10.21,S,273,345,I
PROD040114,NOM_PROD040114,DES_PROD040114,2,3,222,3,3216,0,2738,17.49,S,210,266,A
PROD040115,NOM_PROD040115,DES_PROD040115,3,1,187,5,3330,0,2846,17.02,S,177,224,I
PROD040116,NOM_PROD040116,DES_PROD040116,3,1,284,5,2187,0,1917,14.09,N,269,340,I
PROD040117,NOM_PROD040117,DES_PROD040117,5,1,332,4,3319,0,2965,11.94,N,315,398,I
PROD040118,NOM_PROD040118,DES_PROD040118,2,2,23,4,2232,0,1970,13.34,N,21,27,A
PROD040119,NOM_PROD040119,DES_PROD040119,1,1,303,5,2658,0,2229,19.28,S,287,363,I
PROD040120,NOM_PROD040120,DES_PROD040120,1,1,408,5,3639,0,3288,10.68,N,387,489,I
PROD040121,NOM_PROD040121,DES_PROD040121,4,1,48,5,4560,0,4078,11.84,S,45,57,I
PROD040122,NOM_PROD040122,DES_PROD040122,5,1,219,2,5306,0,4515,17.54,N,208,262,A
PROD040123,NOM_PROD040123,DES_PROD040123,5,1,216,1,3158,0,2753,14.73,N,205,259,A
PROD040124,NOM_PROD040124,DES_PROD040124,2,1,21,1,3293,0,2909,13.23,N,19,25,A
PROD040125,NOM_PROD040125,DES_PROD040125,4,3,34,4,4371,0,3850,13.55,N,32,40,I
PROD040126,NOM_PROD040126,DES_PROD040126,5,1,292,5,5633,0,4969,13.37,S,277,350,I
PROD040127,NOM_PROD040127,DES_PROD040127,4,1,497,1,2381,0,2118,12.42,S,472,596,A
PROD040128,NOM_PROD040128,DES_PROD040128,4,2,108,2,4010,0,3495,14.74,N,102,129,I
PROD040129,NOM_PROD040129,DES_PROD040129,4,2,38,5,3711,0,3283,13.05,S,36,45,A
PROD040130,NOM_PROD040130,DES_PROD040130,3,3,19,1,4642,0,4158,11.66,N,18,22,A
PROD040131,NOM_PROD040131,DES_PROD040131,4,1,415,1,3734,0,3243,15.15,S,394,498,I
PROD040132,NOM_PROD040132,DES_PROD040132,5,3,476,2,4166,0,3664,13.71,N,452,571,I
PROD040133,NOM_PROD040133,DES_PROD040133,4,2,288,5,2670,0,2400,11.28,N,273,345,I
PROD040134,NOM_PROD040134,DES_PROD040134,1,2,379,3,2440,0,2110,15.64,S,360,454,I
PROD040135,NOM_PROD040135,DES_PROD040135,4,2,474,4,5149,0,4402,16.97,S,450,568,A
PROD040136,NOM_PROD040136,DES_PROD040136,3,3,166,2,4951,0,4222,17.28,N,157,199,A
PROD040137,NOM_PROD040137,DES_PROD040137,4,2,152,3,4612,0,4041,14.14,N,144,182,I
PROD040138,NOM_PROD040138,DES_PROD040138,3,2,162,5,2632,0,2390,10.15,N,153,194,I
PROD040139,NOM_PROD040139,DES_PROD040139,1,1,291,5,4323,0,3694,17.04,S,276,349,A
PROD040140,NOM_PROD040140,DES_PROD040140,1,1,446,5,2677,0,2318,15.49,S,423,535,A
PROD040141,NOM_PROD040141,DES_PROD040141,4,1,86,5,4790,0,4281,11.89,S,81,103,A
PROD040142,NOM_PROD040142,DES_PROD040142,2,1,192,2,3189,0,2819,13.13,N,182,230,I
PROD040143,NOM_PROD040143,DES_PROD040143,3,2,276,1,4002,0,3615,10.72,S,262,331,I
PROD040144,NOM_PROD040144,DES_PROD040144,1,3,143,1,4203,0,3787,11.0,N,135,171,A
PROD040145,NOM_PROD040145,DES_PROD040145,5,1,278,2,5911,0,4965,19.07,S,264,333,A
PROD040146,NOM_PROD040146,DES_PROD040146,3,3,230,1,4410,0,3776,16.8,N,218,276,A
PROD040147,NOM_PROD040147,DES_PROD040147,5,3,58,1,2613,0,2375,10.03,S,55,69,I
PROD040148,NOM_PROD040148,DES_PROD040148,2,2,440,5,5120,0,4567,12.12,N,418,528,A
PROD040149,NOM_PROD040149,DES_PROD040149,1,1,264,1,4190,0,3662,14.42,S,250,316,A
PROD040150,NOM_PROD040150,DES_PROD040150,2,2,386,1,5302,0,4573,15.96,N,366,463,I
PROD040151,NOM_PROD040151,DES_PROD040151,3,2,458,1,4755,0,4136,14.98,S,435,549,A
PROD040152,NOM_PROD040152,DES_PROD040152,3,2,415,5,3796,0,3371,12.61,N,394,498,A
PROD040153,NOM_PROD040153,DES_PROD040153,1,2,367,3,3553,0,2976,19.39,N,348,440,I
PROD040154,NOM_PROD040154,DES_PROD040154,5,1,107,2,5287,0,4676,13.07,N,101,128,A
PROD040155,NOM_PROD040155,DES_PROD040155,3,3,363,4,5169,0,4503,14.8,N,344,435,I
PROD040156,NOM_PROD040156,DES_PROD040156,3,1,43,2,3335,0,3017,10.57,S,40,51,A
PROD040157,NOM_PROD040157,DES_PROD040157,5,3,373,4,3658,0,3053,19.83,N,354,447,I
PROD040158,NOM_PROD040158,DES_PROD040158,2,3,184,3,5804,0,4992,16.28,S,174,220,A
PROD040159,NOM_PROD040159,DES_PROD040159,5,1,387,1,3678,0,3082,19.36,S,367,464,A
PROD040160,NOM_PROD040160,DES_PROD040160,4,2,392,1,2321,0,2065,12.42,N,372,470,A
PROD040161,NOM_PROD040161,DES_PROD040161,2,1,358,5,5976,0,4998,19.58,S,340,429,A
PROD040162,NOM_PROD040162,DES_PROD040162,5,3,380,4,4652,0,3936,18.2,N,361,456,A
PROD040163,NOM_PROD040163,DES_PROD040163,2,3,276,5,2743,0,2291,19.77,N,262,331,A
PROD040164,NOM_PROD040164,DES_PROD040164,3,3,330,2,4371,0,3804,14.91,N,313,396,A
PROD040165,NOM_PROD040165,DES_PROD040165,5,1,141,2,2668,0,2318,15.13,S,133,169,I
PROD040166,NOM_PROD040166,DES_PROD040166,4,1,192,4,3982,0,3563,11.76,N,182,230,A
PROD040167,NOM_PROD040167,DES_PROD040167,2,3,110,2,5676,0,4874,16.46,N,104,132,A
PROD040168,NOM_PROD040168,DES_PROD040168,4,3,403,5,5049,0,4461,13.19,S,382,483,A
PROD040169,NOM_PROD040169,DES_PROD040169,2,3,103,3,3366,0,2939,14.56,S,97,123,I
PROD040170,NOM_PROD040170,DES_PROD040170,3,2,54,3,4253,0,3808,11.7,N,51,64,A
PROD040171,NOM_PROD040171,DES_PROD040171,1,3,311,4,3402,0,3077,10.58,N,295,373,A
PROD040172,NOM_PROD040172,DES_PROD040172,5,2,246,2,4564,0,4133,10.43,N,233,295,I
PROD040173,NOM_PROD040173,DES_PROD040173,3,3,319,2,4417,0,3788,16.62,N,303,382,I
PROD040174,NOM_PROD040174,DES_PROD040174,3,3,37,4,2102,0,1909,10.12,S,35,44,A
PROD040175,NOM_PROD040175,DES_PROD040175,3,3,202,4,5499,0,4893,12.39,N,191,242,A
PROD040176,NOM_PROD040176,DES_PROD040176,3,2,187,2,4110,0,3668,12.07,S,177,224,A
PROD040177,NOM_PROD040177,DES_PROD040177,5,2,66,2,5657,0,4782,18.3,S,62,79,I
PROD040178,NOM_PROD040178,DES_PROD040178,2,3,141,4,4759,0,4282,11.14,S,133,169,I
PROD040179,NOM_PROD040179,DES_PROD040179,2,3,263,4,2383,0,2139,11.44,N,249,315,I
PROD040180,NOM_PROD040180,DES_PROD040180,5,3,276,5,5053,0,4502,12.25,N,262,331,I
PROD040181,NOM_PROD040181,DES_PROD040181,5,3,302,4,2520,0,2198,14.66,S,286,362,A
PROD040182,NOM_PROD040182,DES_PROD040182,4,1,2,1,2518,0,2236,12.64,N,1,2,I
PROD040183,NOM_PROD040183,DES_PROD040183,1,3,215,3,4636,0,4071,13.89,S,204,258,I
PROD040184,NOM_PROD040184,DES_PROD040184,2,3,384,2,3100,0,2693,15.14,N,364,460,I
PROD040185,NOM_PROD040185,DES_PROD040185,2,1,18,5,5292,0,4704,12.52,N,17,21,A
PROD040186,NOM_PROD040186,DES_PROD040186,3,3,146,4,2146,0,1893,13.38,N,138,175,A
PROD040187,NOM_PROD040187,DES_PROD040187,1,2,237,2,4159,0,3651,13.94,N,225,284,A
PROD040188,NOM_PROD040188,DES_PROD040188,3,1,138,1,5355,0,4808,11.38,S,131,165,I
PROD040189,NOM_PROD040189,DES_PROD040189,3,1,221,3,4212,0,3720,13.25,S,209,265,I
PROD040190,NOM_PROD040190,DES_PROD040190,4,2,241,5,2302,0,2067,11.4,S,228,289,I
PROD040191,NOM_PROD040191,DES_PROD040191,2,1,204,3,5719,0,4790,19.41,S,193,244,I
PROD040192,NOM_PROD040192,DES_PROD040192,1,1,30,4,2307,0,2004,15.12,S,28,36,I
PROD040193,NOM_PROD040193,DES_PROD040193,3,1,56,1,2601,0,2208,17.8,S,53,67,I
